Date,Open,High,Low,Close,Volume,MA20
2025-04-04,178.53,176.31,172.66,174.19,9215563,
2025-04-05,175.8,176.76,173.28,177.44,7501992,
2025-04-06,176.96,174.22,172.37,175.42,4217620,
2025-04-07,179.48,172.04,170.55,176.95,3143926,
2025-04-08,178.74,175.3,174.35,175.71,6567909,
2025-04-09,173.05,176.31,173.2,176.41,5341373,
2025-04-10,176.9,178.46,170.74,175.02,5031087,
2025-04-11,174.7,178.4,174.93,178.57,3160155,
2025-04-12,174.79,175.23,172.19,175.25,8332661,
2025-04-13,175.82,175.4,174.1,175.8,2511731,
2025-04-14,175.29,173.9,175.46,178.77,8095470,
2025-04-15,177.91,173.16,174.26,172.3,6327797,
2025-04-16,176.52,172.59,176.28,172.46,5008483,
2025-04-17,175.24,179.9,171.53,176.94,9471335,
2025-04-18,175.89,174.98,174.8,172.65,2793923,
2025-04-19,175.67,175.12,172.63,178.89,5307721,
2025-04-20,177.99,173.49,172.26,174.17,2437066,
2025-04-21,174.59,177.55,172.84,173.51,2175067,
2025-04-22,175.63,172.77,173.38,178.85,3590119,
2025-04-23,173.29,175.57,174.11,177.96,7465442,175.86
2025-04-24,169.89,174.21,171.67,178.74,6444696,176.09
2025-04-25,176.31,176.77,175.8,176.81,4340520,176.06
2025-04-26,176.73,174.98,174.93,173.28,4130827,175.95
2025-04-27,173.52,173.64,170.93,178.82,6447877,176.05
2025-04-28,179.54,175.94,176.98,174.46,7879157,175.98
2025-04-29,172.09,176.86,177.79,176.6,6537928,175.99
2025-04-30,175.09,176.13,176.36,176.89,3529409,176.09
2025-05-01,174.63,176.6,173.64,174.69,3712944,175.89
2025-05-02,178.07,174.73,171.86,176.23,1112931,175.94
2025-05-03,177.94,175.27,176.11,176.84,2652088,175.99
