Date,Open,High,Low,Close,Volume,MA20
2025-04-04,2703.53,2701.31,2697.66,2699.19,9215563,
2025-04-05,2700.8,2701.76,2698.28,2702.44,7501992,
2025-04-06,2701.96,2699.22,2697.37,2700.42,4217620,
2025-04-07,2704.48,2697.04,2695.55,2701.95,3143926,
2025-04-08,2703.74,2700.3,2699.35,2700.71,6567909,
2025-04-09,2698.05,2701.31,2698.2,2701.41,5341373,
2025-04-10,2701.9,2703.46,2695.74,2700.02,5031087,
2025-04-11,2699.7,2703.4,2699.93,2703.57,3160155,
2025-04-12,2699.79,2700.23,2697.19,2700.25,8332661,
2025-04-13,2700.82,2700.4,2699.1,2700.8,2511731,
2025-04-14,2700.29,2698.9,2700.46,2703.77,8095470,
2025-04-15,2702.91,2698.16,2699.26,2697.3,6327797,
2025-04-16,2701.52,2697.59,2701.28,2697.46,5008483,
2025-04-17,2700.24,2704.9,2696.53,2701.94,9471335,
2025-04-18,2700.89,2699.98,2699.8,2697.65,2793923,
2025-04-19,2700.67,2700.12,2697.63,2703.89,5307721,
2025-04-20,2702.99,2698.49,2697.26,2699.17,2437066,
2025-04-21,2699.59,2702.55,2697.84,2698.51,2175067,
2025-04-22,2700.63,2697.77,2698.38,2703.85,3590119,
2025-04-23,2698.29,2700.57,2699.11,2702.96,7465442,2700.86
2025-04-24,2694.89,2699.21,2696.67,2703.74,6444696,2701.09
2025-04-25,2701.31,2701.77,2700.8,2701.81,4340520,2701.06
2025-04-26,2701.73,2699.98,2699.93,2698.28,4130827,2700.95
2025-04-27,2698.52,2698.64,2695.93,2703.82,6447877,2701.05
2025-04-28,2704.54,2700.94,2701.98,2699.46,7879157,2700.98
2025-04-29,2697.09,2701.86,2702.79,2701.6,6537928,2700.99
2025-04-30,2700.09,2701.13,2701.36,2701.89,3529409,2701.09
2025-05-01,2699.63,2701.6,2698.64,2699.69,3712944,2700.89
2025-05-02,2703.07,2699.73,2696.86,2701.23,1112931,2700.94
2025-05-03,2702.94,2700.27,2701.11,2701.84,2652088,2700.99
