Date,Open,High,Low,Close,Volume,MA20
2025-04-04,303.53,301.31,297.66,299.19,9215563,
2025-04-05,300.8,301.76,298.28,302.44,7501992,
2025-04-06,301.96,299.22,297.37,300.42,4217620,
2025-04-07,304.48,297.04,295.55,301.95,3143926,
2025-04-08,303.74,300.3,299.35,300.71,6567909,
2025-04-09,298.05,301.31,298.2,301.41,5341373,
2025-04-10,301.9,303.46,295.74,300.02,5031087,
2025-04-11,299.7,303.4,299.93,303.57,3160155,
2025-04-12,299.79,300.23,297.19,300.25,8332661,
2025-04-13,300.82,300.4,299.1,300.8,2511731,
2025-04-14,300.29,298.9,300.46,303.77,8095470,
2025-04-15,302.91,298.16,299.26,297.3,6327797,
2025-04-16,301.52,297.59,301.28,297.46,5008483,
2025-04-17,300.24,304.9,296.53,301.94,9471335,
2025-04-18,300.89,299.98,299.8,297.65,2793923,
2025-04-19,300.67,300.12,297.63,303.89,5307721,
2025-04-20,302.99,298.49,297.26,299.17,2437066,
2025-04-21,299.59,302.55,297.84,298.51,2175067,
2025-04-22,300.63,297.77,298.38,303.85,3590119,
2025-04-23,298.29,300.57,299.11,302.96,7465442,300.86
2025-04-24,294.89,299.21,296.67,303.74,6444696,301.09
2025-04-25,301.31,301.77,300.8,301.81,4340520,301.06
2025-04-26,301.73,299.98,299.93,298.28,4130827,300.95
2025-04-27,298.52,298.64,295.93,303.82,6447877,301.05
2025-04-28,304.54,300.94,301.98,299.46,7879157,300.98
2025-04-29,297.09,301.86,302.79,301.6,6537928,300.99
2025-04-30,300.09,301.13,301.36,301.89,3529409,301.09
2025-05-01,299.63,301.6,298.64,299.69,3712944,300.89
2025-05-02,303.07,299.73,296.86,301.23,1112931,300.94
2025-05-03,302.94,300.27,301.11,301.84,2652088,300.99
