Date,Open,High,Low,Close,Volume,MA20
2025-04-04,703.53,701.31,697.66,699.19,9215563,
2025-04-05,700.8,701.76,698.28,702.44,7501992,
2025-04-06,701.96,699.22,697.37,700.42,4217620,
2025-04-07,704.48,697.04,695.55,701.95,3143926,
2025-04-08,703.74,700.3,699.35,700.71,6567909,
2025-04-09,698.05,701.31,698.2,701.41,5341373,
2025-04-10,701.9,703.46,695.74,700.02,5031087,
2025-04-11,699.7,703.4,699.93,703.57,3160155,
2025-04-12,699.79,700.23,697.19,700.25,8332661,
2025-04-13,700.82,700.4,699.1,700.8,2511731,
2025-04-14,700.29,698.9,700.46,703.77,8095470,
2025-04-15,702.91,698.16,699.26,697.3,6327797,
2025-04-16,701.52,697.59,701.28,697.46,5008483,
2025-04-17,700.24,704.9,696.53,701.94,9471335,
2025-04-18,700.89,699.98,699.8,697.65,2793923,
2025-04-19,700.67,700.12,697.63,703.89,5307721,
2025-04-20,702.99,698.49,697.26,699.17,2437066,
2025-04-21,699.59,702.55,697.84,698.51,2175067,
2025-04-22,700.63,697.77,698.38,703.85,3590119,
2025-04-23,698.29,700.57,699.11,702.96,7465442,700.86
2025-04-24,694.89,699.21,696.67,703.74,6444696,701.09
2025-04-25,701.31,701.77,700.8,701.81,4340520,701.06
2025-04-26,701.73,699.98,699.93,698.28,4130827,700.95
2025-04-27,698.52,698.64,695.93,703.82,6447877,701.05
2025-04-28,704.54,700.94,701.98,699.46,7879157,700.98
2025-04-29,697.09,701.86,702.79,701.6,6537928,700.99
2025-04-30,700.09,701.13,701.36,701.89,3529409,701.09
2025-05-01,699.63,701.6,698.64,699.69,3712944,700.89
2025-05-02,703.07,699.73,696.86,701.23,1112931,700.94
2025-05-03,702.94,700.27,701.11,701.84,2652088,700.99
